,Message,Favourite Count,Retweet Count,Created At,followers_count,screen_name
33,"RT @SeaneyB623: To @BernieSanders, #America 's success, prosperity, strength, security and roaring economy is a dire situation.  #SOTU #SOT…",0,82,2019-02-07 03:44:14,3566,Joanie74109979
34,RT @TheTweetOfGod: White people and black people and brown people and yellow people and red people are all inherently equal and human and g…,0,3911,2019-02-07 03:44:10,250,ikyyy
35,"RT @jojoh888: What a loser!!! 😂🤣😂

#SOTU
#SOTU2019 
#SOTUResponse
#DemocratsAreDestroyingAmerica https://t.co/Ye9FWMSfWF",0,286,2019-02-07 03:44:02,563,dbdork
36,"RT @ROHLL5: 🇺🇸Please Retweet if you agree .@POTUS is the Greatest President Of All Time!

#SOTU2019 https://t.co/SEF6iSjEG7",0,8683,2019-02-07 03:43:59,2952,cyndee31
37,RT @Vicky4Trump: Democrats will never see the greatness of President Trump. This is because they are blinded by their own HATE which is eat…,0,384,2019-02-07 03:43:50,213,JoeD12946835
38,RT @TimRunsHisMouth: Here's Alexandria Ocasio-Cortez high-fiving the air like it's the end of an 80's movie... #sotu #sotu2019 #StateOfTheU…,0,1855,2019-02-07 03:43:47,1121,MarianHernand1
39,"RT @pollsofpolitics: What did you think of #staceyabrams and the #Democrats rebuttal of @POTUS @realDonaldTrump's #SOTU address??

Please v…",0,147,2019-02-07 03:43:47,4894,TimAdam35624879
40,"RT @ROHLL5: 🇺🇸Please Retweet if you agree .@POTUS is the Greatest President Of All Time!

#SOTU2019 https://t.co/SEF6iSjEG7",0,8683,2019-02-07 03:43:46,81,e_livingston430
41,"RT @KarenCorrea830: Trump states that all children are important, but he somehow failed to mention the thousand of children who have been s…",0,1,2019-02-07 03:43:43,115,kevin_vee
42,"RT @IngrahamAngle: No Republican has done better since Reagan bringing to light the gallantry and humility of American heroes, with a focus…",0,6528,2019-02-07 03:43:40,51,TammieWoldberg
43,"RT @jojoh888: What a loser!!! 😂🤣😂

#SOTU
#SOTU2019 
#SOTUResponse
#DemocratsAreDestroyingAmerica https://t.co/Ye9FWMSfWF",0,286,2019-02-07 03:43:37,4211,melin123
44,"By Godfrey, I had BINGO at least ten ways! Shoulda had some money on this game - oops! - I mean #SOTU2019. https://t.co/b24ekBVpx5",0,0,2019-02-07 03:43:37,1685,envisione
45,RT @PossDoug: Ty Juliette #SOTU2019 @youlivethrice @BlissTabitha @Lrihendry @GaetaSusan @hardinjune2 @tamuathome1 @AIIAmericanGirI @Ingraha…,0,2,2019-02-07 03:43:32,12942,LDknepper
46,"RT @JessieJaneDuff: ""America was founded on liberty and independence — not government coercion, domination, and control.

""We are born free…",0,979,2019-02-07 03:43:29,15,montanakat2
47,When #Pelosi is making faces and you think is boring.  #SOTU2019 https://t.co/I6g8off6Iz,0,0,2019-02-07 03:43:27,2,realAdrianComan
48,RT @w_terrence: So @Twitter @verified  it’s okay for @BenjaminJS to be nasty toward a 11 year old boy because is name is Joshua Trump ?  #S…,0,772,2019-02-07 03:43:27,74,promentheus1
49,"RT @michaeljohns: ""We are born free, and we will stay free. Tonight, we renew our resolve that America will never be a socialist country.""…",0,346,2019-02-07 03:43:22,10138,mlhcromwell16
50,"RT @IngrahamAngle: No Republican has done better since Reagan bringing to light the gallantry and humility of American heroes, with a focus…",0,6528,2019-02-07 03:43:15,67,JeffMcK07994899
51,"RT @Str8DonLemon: Democrats cheered harder for themselves getting into congress than for war heroes, criminal justice reform, child cancer…",0,1373,2019-02-07 03:43:13,38,firstbrittany
52,"RT @_SJPeace_: Guess who weren't IMMIGRANTS?
 
The 
Las Vegas Shooter
Sandy Hook Shooter
Parkland Shooter
Charleston Church Shooter
Aurora…",0,5569,2019-02-07 03:43:13,412,erykahjw
53,@ReElectNydia Hmm..74% of Americans approve of @potus ' #SOTU2019. Looks like 74% of Americans know that you're the… https://t.co/BxMD6FKqfI,0,0,2019-02-07 03:43:12,4048,hg9703
54,RT @AnnaBD20: WATCH: Venezuelans Warn Against Bringing Socialism to the United States. #AmericaWillNeverBeASocialistCountry #Landofthefree…,0,369,2019-02-07 03:43:09,2488,Buford330Leon
55,"RT @ROHLL5: 🇺🇸Please Retweet if you agree .@POTUS is the Greatest President Of All Time!

#SOTU2019 https://t.co/SEF6iSjEG7",0,8683,2019-02-07 03:43:07,66,GloriaMarszalek
56,"RT @SeaneyB623: To @BernieSanders, #America 's success, prosperity, strength, security and roaring economy is a dire situation.  #SOTU #SOT…",0,82,2019-02-07 03:43:03,14955,Intelligencia76
57,"RT @JessieJaneDuff: ""Kamala Kills Kids"" won't make a good campaign slogan for you in 2020.

Maybe politicians should not tell the unborn wh…",0,1825,2019-02-07 03:43:01,69,lynne_sandstrom
58,I want to have as much power over the Corgis at my house as Nancy has over the Democrats in her House. @TeamPelosi… https://t.co/kmRczmN4Z5,0,0,2019-02-07 03:43:01,4520,revsusanrussell
59,"RT @ROHLL5: 🇺🇸Please Retweet if you agree .@POTUS is the Greatest President Of All Time!

#SOTU2019 https://t.co/SEF6iSjEG7",0,8683,2019-02-07 03:43:00,3586,paladin_55
60,"RT @FRCdc: ""All children, born and unborn, are made in the Holy image of God."" @POTUS 
#sotu #sotu2019 #prolife #prochoice #abortion #choos…",0,45,2019-02-07 03:42:59,378,JaredALaskey
61,RT @sistertoldjah: I think we've hit a low point in politics when women in white will stand and cheer for themselves being elected but not…,0,647,2019-02-07 03:42:55,4487,indiegop
62,RT @TamaraLeigh_llc: @RepDanCrenshaw Congratulations Dan! You’re the new generation of leadership and service our country needs going forwa…,0,2,2019-02-07 03:42:51,24042,VetApologist
63,RT @w_terrence: So @Twitter @verified  it’s okay for @BenjaminJS to be nasty toward a 11 year old boy because is name is Joshua Trump ?  #S…,0,772,2019-02-07 03:42:51,39198,CaliRN619
64,"RT @w_terrence: Nancy Pelosi look DRUNK in this video
Or High. 

RETWEET if you think Politicians should take &amp; pass a Drug test &amp;  before…",0,6361,2019-02-07 03:42:50,182,Emytrousdale
65,"RT @SandraTXAS: Look at this precious face! This is a 40 week baby still in utero.

It is legal to kill her in New York state with late ter…",0,265,2019-02-07 03:42:50,3266,gingerismygirl
66,"RT @TrumpsWolf10: @RepAOC you and your comrades looked great tonight
#SOTU2019 https://t.co/oiCvPGC2r4",0,257,2019-02-07 03:42:50,2462,53percenter2012
67,"RT @ROHLL5: 🇺🇸Please Retweet if you agree .@POTUS is the Greatest President Of All Time!

#SOTU2019 https://t.co/SEF6iSjEG7",0,8683,2019-02-07 03:42:44,1161,RealGringo2
68,Nancy Pelosi was an entire mood last night... #SOTU2019 https://t.co/oDDtID6KZm,0,0,2019-02-07 03:42:42,440,zachloker
69,RT @realDonaldTrFan: Tonight is MY state of the union adress! One thing I'll talk about is how I'M STRONGLY deregulating sexuall harassment…,0,870,2019-02-07 03:42:42,1813,LcdaDianaDiaz
70,RT @CactusFlower_1: @SenSchumer @realDonaldTrump Nobody cares what #SenSchumer has to say! @POTUS👉#ClassAct! #SOTU2019 #SOTU #MAGA #KAG2020…,0,1,2019-02-07 03:42:40,11416,thedevman1
71,"RT @w_terrence: Nancy Pelosi look DRUNK in this video
Or High. 

RETWEET if you think Politicians should take &amp; pass a Drug test &amp;  before…",0,6361,2019-02-07 03:42:38,156,JackSpr51904278
72,"@Semaphore89 First, how many SOTU have you been to? Do you even know what they are For? GROW UP or go back to schoo… https://t.co/A8Z9pdqWTt",0,0,2019-02-07 03:42:34,1915,LuciferMF626
73,RT @LindaBSearcy: @seanhannity Loved @realDonaldTrump #SOTU2019 Address. He did an awesome job. The dems acted disgraceful.,0,6,2019-02-07 03:42:33,11096,Knowhatmatters
74,RT @w_terrence: Why did you let Willie Brown tell you to do with yours when y’all were sleeping together behind his wife’s back? #SOTU #SOT…,0,4122,2019-02-07 03:42:31,124,johnnie_sadka
75,"RT @LindseyGrahamSC: ICYMI:
I spoke last night about President @realDonaldTrump State of the Union Address. #SOTU2019

https://t.co/vTPwkzh…",0,144,2019-02-07 03:42:29,194,AnnTweetsToo
76,"RT @John_KissMyBot: The Two Most Despicable People In DC Are Nancy Pelosi And Chuck Schumer

They Don’t Care About The American People ~ Ju…",0,1766,2019-02-07 03:42:26,1897,yenotbre
77,"RT @M4G4G1RL: .@FLOTUS thank you for your style and genuine love you have brought to the White House❣️

You are a true beauty with remarkab…",0,589,2019-02-07 03:42:23,8627,BryanP18
78,"RT @M4G4G1RL: .@FLOTUS thank you for your style and genuine love you have brought to the White House❣️

You are a true beauty with remarkab…",0,589,2019-02-07 03:42:23,2115,reimagination1
79,RT @TimRunsHisMouth: They don't call them the greatest generation for nothing. #SOTU #sotu2019 https://t.co/kOzQV5aJFo,0,439,2019-02-07 03:42:19,1544,RobKing91091854
80,"RT @Sifill_LDF: I will never forget the clapping &amp; joking &amp; shouts of ""USA!"" despite the catastrophic debasement of this country's highest…",0,1757,2019-02-07 03:42:19,287,Ally_boo9466
81,"RT @w_terrence: Nancy Pelosi look DRUNK in this video
Or High. 

RETWEET if you think Politicians should take &amp; pass a Drug test &amp;  before…",0,6361,2019-02-07 03:42:18,74,promentheus1
82,"RT @thomesinc: “Victory is not winning for a party it’s winning for a Country” @realDonaldTrump @POTUS 

 #SOTU2019 https://t.co/dzYsdhVabg",0,157,2019-02-07 03:42:17,2653,AnthonyBlock1
83,"RT @jojoh888: Results from the #SOTU Address

76% Approve of what they heard

72% Approve of the President's ideas for immigration

We are…",0,243,2019-02-07 03:42:17,1344,smittynole
84,"RT @ROHLL5: 🇺🇸Please Retweet if you agree .@POTUS is the Greatest President Of All Time!

#SOTU2019 https://t.co/SEF6iSjEG7",0,8683,2019-02-07 03:42:16,8441,amarcherrunge1
85,"RT @jojoh888: What a loser!!! 😂🤣😂

#SOTU
#SOTU2019 
#SOTUResponse
#DemocratsAreDestroyingAmerica https://t.co/Ye9FWMSfWF",0,286,2019-02-07 03:42:14,504,paintingam
86,RT @AnnaBD20: WATCH: Venezuelans Warn Against Bringing Socialism to the United States. #AmericaWillNeverBeASocialistCountry #Landofthefree…,0,369,2019-02-07 03:42:12,1049,davidwcpf
87,"RT @John_KissMyBot: President Trump At SOTU:

“Tonight I Ask You To Choose Greatness” 

President Trump @realDonaldTrump We Did By Electing…",0,238,2019-02-07 03:42:12,14955,Intelligencia76
