,ids,retweet,favorite,inreplyto,friends,screen_name,followers,listed,text,location
2598,2843085861,1032,0,,107,mlevin_nutek,113,1,"RT @KimberlyMrsRR1: 🇺🇸🇺🇸

WithIn 2 miles around Capitol Hill

I counted 24 Homeless
Flag proud Veterans 🇺🇸

You know what I don’t see? Not…","New York, NY"
2599,36265595,1748,0,,4476,delainegordon,2284,4,"RT @Jim_Jordan: ""Rep. Jim Jordan discusses President Trump’s #SOTU and the report that special counsel Robert Mueller was called to appear…","North Myrtle Beach, SC"
2600,20545300,17085,0,,4706,PanteraLa1,3805,5,"RT @RealJamesWoods: President Trump simply knocked it out of the park. The response proved it, the polls proved it, and history will most c…",Florida
2601,910899332802420736,10,0,,56,Wajihatahir8,70,0,RT @tahir1150: Manzoor e Nazar Kon Hota Hai? | #YounusAlGohar | #ALRATV   https://t.co/Sq4g023gvy via @YouTube  . A #video that can change…,Sri Lanka
2602,24806596,267,0,,302,Glorybound108,78,2,"RT @heyadiana: For the first time, I truly feel some representation in the U.S. House of Representatives. This is what #UnapologeticallyMus…",somewhere usa
2603,1258428798,4,0,,4789,GAdevoted,3959,16,"RT @javanhamiltontv: The Class of 2018 trolls the President by standing at the mention of ‘newly-created jobs,’ women’s suffrage and ‘women…",usa : gadevoted.tumblr.com
2604,108691767,13645,0,,642,retrolady101,282,18,RT @FLOTUS: It was an honor to be joined by our inspiring guests at this year’s #SOTU.  Each of them has a remarkable story to tell.  Thank…,"Cutchogue, New York"
2605,39063982,5905,0,,147,edrock1969,98,0,"RT @DanCrenshawTX: Here’s a good thing for all Americans to remember about last night’s #SOTU:

At one point, BOTH parties were chanting “U…",
2606,126098636,38726,0,,361,SharzBoston,43,0,"RT @MichaelSkolnik: Parkland Shooter:
Not an immigrant
Tree Of Life Shooter:
Not an immigrant.
Las Vegas Shooter:
Not an immigrant
Borderli…",
2607,161805192,56692,0,,134,AnastasiaGursoy,138,0,RT @KamalaHarris: Politicians 👏 should 👏 not 👏 tell 👏 women 👏 what 👏 to 👏 do 👏 with 👏 their 👏 bodies. #SOTU,
2608,1029136075296591872,2129,0,,454,ebaso2,195,5,RT @IvankaTrump: Last night @POTUS shared the historic economic gains women are experiencing in America &amp; previewed tomorrow’s launch of ou…,
2609,926859582302928896,555,0,,2784,mwahmyazz,2108,0,"RT @shannonrwatts: Incredibly hot Newsmax host says an ""angry"" Stacey Abrams wasn’t attractive enough to give the Democrats’ #SOTU response…","California, USA"
2610,947924480600494080,8456,0,,6727,Smokecat11,6180,4,RT @Jim_Jordan: The most powerful moment of the #SOTU was when President Trump defended the sanctity of human life. https://t.co/n7JitWWxue,United States
2611,2569186159,1715,0,,837,e21b1eb1c566473,398,6,"RT @s7785: #حالة_انسانيه بحاجه لدعاء 
الطفله لمياء ترقد بالعناية المركزه تريد ان لا تنسوها من الدعاء اللهم اشفي هذه الطفله وردها لاهلها سال…",
2612,880737260,3,0,,662,BCo1732,476,4,RT @DreamalityEnt: Until you comprehend TRUMP is NOT A PRESIDENT you will continually fall into the trap of judging him through a lens of n…,Rhode Island
2613,19221312,449,0,,114,Linda4490,56,4,RT @amyklobuchar: Missing from #SOTU? Any mention of climate change. Science is clear: climate change is happening. Rejoin international cl…,"San Francisco, CA"
2614,2757695505,27,0,,68260,SweetKat111,73835,39,RT @mrntweet2: #SOTU https://t.co/dScW4lSj1W,The Sweet South
2615,1036437075967524865,59,0,,52,Ivan04520737,19,1,RT @DeePlorable2016: Told what to wear ✅           Told when to sit ✅                 Told when to clap✅              Told when to stand✅…,"Rio de Janeiro, Brasil"
2616,2606219596,295,0,,1044,dennis_pyzah,1429,2,"RT @VOANews: Democratic Congress Women are wearing suffragette white as a pledge to fight for women's rights.
#SOTU #VOASOTU https://t.co/4…",
2617,256133954,22,0,,2458,vixenwalker,2287,6,RT @TurntableKittah: @steveursell @TaarnaTaarakian @SenatorSinema Sinema is being taken to the back alley and beaten by the Coven afterward…,Oregon
2618,954859929961160708,49,0,,4639,Mike_Lawson_55,3508,4,RT @WhiteHouseLeaks: What is @realDonaldTrump doing in this clip from the #SOTU address? https://t.co/fAcCWstrqq,#SouthCarolina
2619,64878928,45015,0,,923,iamdjhollywood,297,4,RT @pattonoswalt: Congrats to @SpeakerPelosi for inventing the “fuck you” clap. #sotu https://t.co/eueoUf9IBT,"Hyattsville, MD"
2620,482617008,1577,0,,458,sans118,357,14,"RT @Franklin_Graham: In case you missed it, here’s part of what @POTUS said: “Let us work together to build a culture that cherishes innoce…",PA
2621,93030076,0,0,,1076,tryghin,158,1,"RT @WBUR: 2️At the #SOTU, President Trump called for lowering drug prices. This caught the attention of Mass. pharmaceutical companies: htt…",Western massachusetts
2622,2627825957,300,0,,106,cbeattie49,115,2,RT @prageru: A 👏 child 👏 in 👏 the 👏 womb 👏 is 👏 an 👏 individual👏 person 👏 with 👏 her 👏 own 👏 body. #SOTU https://t.co/fq1t8lMHfb,
2623,2184866269,141,0,,959,jmichaelp62,868,0,RT @hirschA8720: ‼️@SpeakerPelosi took the President of #PlannedParenthood to #SOTU address and today she’s blocking legislation that makes…,
2624,1073193545710882816,379,0,,752,GibbyBeasley,534,0,RT @Doodisgirl: Had a great discussion with my pastor last night about the incredible display of hate the ‘Democrats’ put on during Preside…,
2625,378338433,0,1,,629,Artby_April,261,5,#PelosiClap #SOTU #theinternetmademedoit https://t.co/ok8RSV9OEC,Trenton NJ
