screen_name,retweeted_user,content_type
kenYoda60,RealCandaceO,RT
KPkski,realDonaldTrump,RT
ChristinePolon1,Jim_Jordan,RT
CarmillaLovers,KamalaHarris,RT
payne59,BrentBozell,RT
Bro17615356,,Tweet
JABaloney,PelosiPress,RT
yilindeng2012,RealCandaceO,RT
2bblack,johncardillo,RT
JoanneW2017,Lrihendry,RT
ajohouse,realDonaldTrump,RT
DonnaM5050,WayneDupreeShow,RT
RyanAFournier,realDerekUtley,RT
bigfatgit,TulsiGabbard,RT
susieqfarmgirl,RealMAGASteve,RT
KPkski,realDonaldTrump,RT
ByronFisherKY,GOP,RT
Mer57maid,FLOTUS,RT
CHTrumpSupport,RealCandaceO,RT
cgr888,LeoDube,RT
DonnaWR8,,Tweet
DitkaMoose,,Tweet
snohoCoachChris,RealCandaceO,RT
RayTrainer1,EricTrump,RT
suziew411_susan,RealJamesWoods,RT
3rdmindsEyE,claycane,RT
ToneCapone42,Telford_Russian,RT
JosephEllingt20,grantstern,RT
bsmithmd3631,GeoWashPundit,RT
TrevorRosenfels,RealCandaceO,RT
armour_brad,FrankLuntz,RT
Sparks25915,HeatherSBrooks1,RT
SaminaKaramat,GabbyGiffords,RT
RobertEONeill4,tan123,RT
fringephile,MiaFarrow,RT
KCC457,BlazeTV,RT
AlanSte75898462,Blessttt,RT
Colonelhum2,realTylerZed,RT
azfrancher,ARmastrangelo,RT
legalHSKpanda,David_J_Bier,RT
BballCoach80,jjauthor,RT
Lonestar357,realDonaldTrump,RT
rgarner0451,GSarafan,RT
poisonsky23,RealCandaceO,RT
realDerekUtley,,Tweet
Scrambl20523254,DonnaWR8,RT
JanetKenny6,RealCandaceO,RT
JABaloney,RepEscobar,RT
Samara_Mitchell,amyklobuchar,RT
JosephEllingt20,SpecNews1SoCal,RT
Jim9723,USALoyalty1776,RT
hrodmor,VOANoticias,RT
Jbird433,RepMattGaetz,RT
ABLEARTIST1,allidoisowen,RT
vamplita,JaySekulow,RT
Jon_1776,RealCandaceO,RT
RichardEricWag1,RoseAnnDeMoro,RT
ihatelakkstacks,julissaarce,RT
Diane50341124,CNNnewsroom,RT
timeindawater1,TrinityResists,RT
FJazmine805,TeamPelosi,RT
BeerOysters,realDonaldTrump,RT
havana_vagabond,havana_vagabond,RT
TibisayJHM,stesep,RT
RickOtt2,AllenWest,RT
TntGuerrero,fams2gether,RT
SkilledServ,RealCandaceO,RT
gbroh10,Tombx7M,RT
redwop25,PeterDawsonUSA,RT
Yemayah777,bryanbehar,RT
mooncindylu,LifeNewsHQ,RT
GAdevoted,USRepKCastor,RT
RBrandIsCrisis,,Tweet
Tortured_Verse,LevineJonathan,RT
RaymonKent4,RealJamesWoods,RT
rfuller98,adamclanton,RT
akdesiree1,pollsofpolitics,RT
margielaird_9,votevets,RT
AtlantaStu,,Tweet
OregonFembot,JonLionFineArt,RT
thoover230,Truthseeker126,RT
PoliticalDoggy,MichaelSkolnik,RT
Denlewis01,RealCandaceO,RT
liracarmen15,DanCrenshawTX,RT
max_gonz,VOANoticias,RT
LaylaAlisha11,letters4trump45,RT
TrojanNinja85,TrinityResists,RT
rgarner0451,peterdaou,RT
caseal58,RealCandaceO,RT
chaloo_pandey,,Tweet
JABaloney,PelosiPress,RT
chitaaa_xx,_SJPeace_,RT
ChuckNo88243754,RealJamesWoods,RT
theLastBoatman,Anon_decoder,RT
TRACKSTARTER,TeaPainUSA,RT
Magalactus,RealCandaceO,RT
sleal77,,Tweet
Jbird433,RepMattGaetz,RT
AquaStar4,GOP,RT
VinceGottalotta,KayAmai022,RT
OldSkoolTarHeel,AllenWest,RT
AngieTink,Jim_Jordan,RT
havana_vagabond,havana_vagabond,RT
mytotaldarkness,EpochTimes,RT
AmericanMade169,RealCandaceO,RT
CorinneSnyder11,MagaAngeles,RT
SmkyMtnGrl1,NewRightNetwork,RT
butch_hoffman,RealCandaceO,RT
VLittel,RachelWard301,RT
cesaracm1961,VOANoticias,RT
ChrisMo49474988,DennisMJordan,RT
TexasRPhJD,RealCandaceO,RT
broker1ajs,heyitsCarolyn,RT
p1webb,TigressLilly1,RT
R4LOT,,Tweet
bandhransome,10thAmendment,RT
zerodegrekelvin,pattonoswalt,RT
McChesneyA1,RealCandaceO,RT
GAdevoted,USRepKCastor,RT
FireBunny63,heyitsCarolyn,RT
jenksmeister123,pattonoswalt,RT
SpunkForRobots,Redpainter1,RT
Earthrain34,mollyday15,RT
dianadiaz,cain_nate,RT
coach_masse,pollsofpolitics,RT
ladolcevitaone,TeaPainUSA,RT
Gngerbrdgrl,pollsofpolitics,RT
wethepeople_Act,CrisTucks,RT
rounderstudio,,Tweet
DDbeyork,Jim_Jordan,RT
FaramarziAzad,RepTedLieu,RT
RoyWils28241710,LifeNewsHQ,RT
LeonardNash11,heyitsCarolyn,RT
mtunney11,MagaAngeles,RT
daffodil139,TrinityResists,RT
AmericanBubba,,Tweet
p1webb,TimRunsHisMouth,RT
SP_Holman,PrisonPlanet,RT
allenroberthill,KenidraRWoods_,RT
Smokecat11,newtgingrich,RT
CienciaxCAT,NASA,RT
Hollander66,votevets,RT
vamplita,cain_nate,RT
lissasno1fan,RealCandaceO,RT
fitzelizabeth,Franklin_Graham,RT
A1MovieCodes,MeetThePress,RT
Vinsla,RealCandaceO,RT
RussDeGray,RealCandaceO,RT
RoyWils28241710,LifeNewsToo,RT
apoliticalgal,JonLionFineArt,RT
palavrossavrvs,MichaelT_45,RT
PVenkataY,cspan,RT
Jim_sees,RealCandaceO,RT
DonnaWR8,,Tweet
sandra_greer,DeePlorable2016,RT
kenmf1,heyitsCarolyn,RT
Deborahgriewsk1,TeamPelosi,RT
testtranquility,HRC,RT
DavidKr11836904,RealCandaceO,RT
DonnaE1003,,Tweet
smnewmark_,DLoesch,RT
ColombianFash,KamalaHarris,RT
TonyDaw96743560,JessieJaneDuff,RT
1SassyLadyDi,RealJamesWoods,RT
lorireneau,TimRunsHisMouth,RT
remus_lucaci,RealCandaceO,RT
Juicerden,FLOTUS,RT
BballCoach80,deanbc1,RT
JoGragg,,Tweet
plantlady293,Tombx7M,RT
bfrmhlsjr,GOP,RT
dihlwacker,heyitsCarolyn,RT
naaz1c,AdotGif,RT
Samara_Mitchell,nowthisnews,RT
PVenkataY,cspan,RT
RandallEMeyer,Messiahanthem,RT
OregonFembot,TeamPelosi,RT
schmitty2115,JaySekulow,RT
AdakCharley,tedlieurealDonaldTrump,RT
jenniferliny,TeaPainUSA,RT
heyitsCarolyn,the_amish_txtr,RT
WayneLMiller1,Jim_Jordan,RT
