,imageid,mid,desc,score
87,1888158516456404761,/m/0838f,Water,0.8073040843009949
88,1888158516456404761,/m/0ytgt,Child,0.7418337464332581
89,1888158516456404761,/m/09dv7,Soil,0.7185768485069275
90,1888158516456404761,/m/0ds99lh,Fun,0.7039424180984497
91,1888158516456404761,/m/019nj4,Smile,0.6944891214370728
92,1888158516456404761,/m/07j7r,Tree,0.6869218349456787
93,1888158516456404761,/m/01y3fy,Jungle,0.6329776644706726
94,1888158516456404761,/m/07sn5gn,Geological phenomenon,0.6163091659545898
95,1888279111470907589,/m/0ytgt,Child,0.7654775381088257
96,1888279111470907589,/m/03k3r,Horse,0.7519150376319885
97,1888279111470907589,/m/019nj4,Smile,0.5404295921325684
98,1888354763528130949,/m/0cgh4,Building,0.8564633131027222
99,1888354763528130949,/m/03nfmq,Architecture,0.8556758165359497
100,1888354763528130949,/m/01x314,Facade,0.7860801219940186
101,1888354763528130949,/m/01bqvp,Sky,0.7326111197471619
102,1888354763528130949,/m/03pty,Hotel,0.6080011129379272
103,1888354763528130949,/m/03jm5,House,0.5928719639778137
104,1888354763528130949,/m/0c1vxg,Mixed-use,0.5776970982551575
105,1888354763528130949,/m/05hg54,Commercial building,0.5758923888206482
106,1888354763528130949,/m/01l0mw,Home,0.5695543885231018
107,1888354763528130949,/m/01n32,City,0.5619292855262756
108,1888430312992553615,/m/01bqvp,Sky,0.9840472340583801
109,1888430312992553615,/g/11jxkqbpp,Mountainous landforms,0.9792076349258423
110,1888430312992553615,/m/09d_r,Mountain,0.9658712148666382
111,1888430312992553615,/m/01g5v,Blue,0.9606584906578064
112,1888430312992553615,/m/04wxr,Mountain range,0.9555043578147888
113,1888430312992553615,/m/0csby,Cloud,0.9149162173271179
114,1888430312992553615,/m/0d1n2,Horizon,0.9094042778015137
115,1888430312992553615,/m/023bbt,Wilderness,0.8854291439056396
116,1888430312992553615,/m/01jnvt,Badlands,0.8546478152275085
117,1888430312992553615,/m/036hv,Geology,0.8201905488967896
118,1888505922360208565,/m/07kbbhf,Elephants and Mammoths,0.9917300343513489
119,1888505922360208565,/m/09686,Vertebrate,0.9851104021072388
120,1888505922360208565,/m/01280g,Wildlife,0.9841070771217346
121,1888505922360208565,/m/0fbf1m,Terrestrial animal,0.9830611944198608
122,1888505922360208565,/m/04rky,Mammal,0.9727270603179932
123,1888505922360208565,/m/04_r5c,African elephant,0.9690690040588379
124,1888505922360208565,/m/0dflpy,Indian elephant,0.9518674612045288
125,1888505922360208565,/m/01c7cq,Grassland,0.9421263933181763
